hisco,en_text,hisclass,hisclass_5,socpo,hiscam
39520,Library Clerk,5,2,42,71.8
39530,Filing Clerk,5,2,42,64.12
39900,Clerks Not Elsewhere Classified,,,,
39920,Statistical Clerk,,,,
39930,Coding Clerk (DataProcessing),,,,
39940,Proof Reader,5,2,42,71.8
39950,Office Machine Operator (Reproduction Processes),,,,
39960,Railway Clerk,5,2,42,61.4
39990,Other Clerks,5,2,42,71.19
41000,Working Proprietors (Wholesale and Retail Trade),,,,
41020,Working Proprietor (Wholesale Trade),3,2,5,81.33
41025,Working Proprietor (Wholesale or Retail Trade),4,2,42,
41030,Working Proprietor (Retail Trade),4,2,42,
41040,Working Proprietor (Hiring Out),4,2,42,63.16
42000,Buyers,,,,
42200,Buyers,,,,
42220,Buyer,4,2,42,66.45
42230,Purchasing Agent,4,2,42,66.45
43000,"Technical Salesmen, Commercial Travellers and Manufacturers Agents",,,,
43100,Technical Sales and Service Advisers,,,,
43120,Technical Salesman,4,2,42,72.37
43130,Technical Service Adviser,4,2,42,72.37
43200,Commercial Travellers and Manufacturers Agents,4,2,42,73.55
43220,Commercial Traveller,4,2,42,73.55
43230,Manufacturers' Agent,4,2,42,66.45
44000,"Insurance, Real Estate, Securities and Business Services Salesmen and Auctioneers",,,,
44100,"Insurance, Real Estate or Securities Salesmen, Specialisation Unknown",4,2,42,73.31
44120,Insurance Salesman,4,2,42,76.25
44130,Estate Agent,4,2,42,96.19
44140,Stock Broker,4,2,42,84.08
44190,"Other Insurance, Real Estate and Securities Salesmen",4,2,42,78.16
44200,Business Services Salesmen,,,,
44220,Business Services Salesman (except Advertising),4,2,42,72.37
44230,Advertising Salesman,4,2,42,73.25
44300,Auctioneers,,,,
44320,Auctioneer,4,2,42,75.94
44330,Appraiser,2,1,42,72.37
45000,"Salesmen, Shop Assistants and Related Workers",,,,
45100,"Salesmen, Shop Assistants and Demonstrators",,,,
45120,Wholesale Trade Salesperson,5,2,2,67.54
45125,"Salesperson, Wholesale or Retail Trade",5,2,42,65.4
45130,Retail Trade Salesperson,5,2,2,58.02
45140,Fashion Model,5,2,2,56.72
45150,Demonstrator,,,,
45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,2,73.19
45200,"Street Vendors, Canvassers and News Vendors",,,,
45220,Street Vendor,11,5,1,51.9
45230,Canvasser,11,5,2,51.9
45240,News Vendor,11,5,2,56.72
45290,"Other Street Vendors, Canvassers and News Vendors",11,5,2,51.9
49000,Sales Workers Not Elsewhere Classified,,,,
49020,Pawnbroker,5,2,42,56.72
49030,Waste Collector,11,5,2,56.72
49090,Other Sales Workers,5,2,2,62.63
51000,"Working Proprietor (Catering, Lodging or Leisure Services), Specialisation Unknown",4,2,42,58.02
51020,Working Proprietor (Hotel and Restaurant),1,1,42,55.41
51030,Working Proprietor (Restaurant),4,2,42,69.8
51040,Working Proprietor (Guest House),4,2,42,69.91
51050,"Working Proprietor (CafÃ©, Bar and Snack Bar)",4,2,42,58.02
51090,"Other Working Proprietors (Catering, Lodging and Leisure Services)",4,2,42,71.56
53000,"Cooks, Waiters, Bartenders and Related Workers",,,,
53100,"Cook, Specialisation Unknown",7,3,3,57.66
53120,Head Cook,6,2,3,57.66
53130,"Cook, except Private Service",7,3,3,57.66
53140,"Cook, Private Service",,,,
53150,Ship's Cook,9,3,3,57.66
53190,Other Cooks,11,5,3,57.75
53200,"Waiters, Bartenders and Related Workers",,,,
53210,"Waiter, General",9,3,2,64.27
53220,Head Waiter,3,2,3,64.27
53230,"Waiter, Formal Service",,,,
53240,Wine Waiter,9,3,3,64.27
53250,Bartender,9,3,2,64.27
53290,"Other Waiters, Bartenders and Related Workers",9,3,1,64.27
54000,Maids and Related Housekeeping Service Workers Not Elsewhere Classified,11,5,1,41.43
54010,"Domestic Servant, General",9,3,1,41.43
54020,House Servant,11,5,1,41.43
54030,"Personal Maid, Valet",9,3,2,41.43
54035,Nursemaid,9,3,2,59.72
54040,Companion,5,2,2,58.29
54050,Chambermaid and Room Attendant,11,5,1,62.2
54055,Hotel Concierge,,,,
54060,Ship's Steward,5,2,3,41.45
54090,Other Maids and Related Housekeeping Service Workers,9,3,2,63.13
55000,"Building Caretakers, Charworkers, Cleaners and Related Workers",,,,
55100,"Building Caretaker, Specialisation Unknown",5,2,1,69.97
55120,Concierge (Apartment House),5,2,2,58.61
55125,Concierge (Apartment House) or Janitor,5,2,2,68.86
55130,Janitor,5,2,2,67.62
55140,Verger,5,2,2,63.56
55190,Other Building Caretakers,5,2,2,39.88
55200,"Charworkers, Cleaners and Related Workers",,,,
55220,Charworker,11,5,1,37.18
55230,Window Cleaner,11,5,2,37.18
55240,Chimney Sweep,11,5,2,55.09
55290,"Other Charworkers, Cleaners and Related Workers",11,5,1,38.59
56000,"Launderers, DryCleaners and Pressers",,,,
56010,"Launderer,  General",9,3,2,55.97
56020,Laundering MachineOperator,9,3,2,55.97
56030,DryCleaning MachineOperator,,,,
56040,DryCleaner (Hand),9,3,2,55.97
56050,Spotter (DryCleaner),9,3,2,55.97
56060,Laundry Pressing MachineOperator,9,3,2,55.97
56065,Presser (Hand or Machine),9,3,2,55.97
56070,Presser (Hand),9,3,2,55.97
56080,Wardrobe Mistress (Stage and Studio),9,3,2,55.97
56090,"Other Launderers, DryCleaners and Pressers",11,5,2,55.97
57000,"Hairdressers, Barbers, Beauticians and Related Workers",,,,
57020,Women's Hairdresser,9,3,3,59.34
57025,Womenâ€™s or Menâ€™s Hairdresser,9,3,3,59.34
57030,Barber Hairdresser,9,3,3,59.34
57040,Beautician,9,3,2,59.34
57050,Manicurist,9,3,2,59.34
57060,MakeUp Man (Stage and Studio),9,3,2,59.34
57070,Bath Attendant,9,3,2,59.34
57090,"Other Barbers, Hairdressers, Beauticians and Related Workers",7,3,3,59.34
58000,Protective Service Workers,,,,
58100,FireFighters,,,,
58110,FireFighter,7,3,2,59.72
58120,Fire Prevention Specialist,,,,
58130,FireSalvage Specialist,,,,
58140,Aircraft Accident FireFighter,,,,
58200,Policemen and Detectives,,,,
58220,Policeman and other Maintainers of Law and Order (except Military),4,2,42,54.83
58225,Military Policeman,4,2,42,58.36
58230,Detective,4,2,5,61.25
58240,Private Police Guard,5,2,5,61.25
58300,Military,9,3,1,59.45
58320,Officer,1,1,5,95.41
58330,NonCommissioned Officer,3,2,3,61.68
58340,Other Military Ranks,9,3,2,52.11
58900,Protective Service Workers Not Elsewhere Classified,,,,
58920,Private Inquiry Agent,,,,
58930,Prison Guard,5,2,2,64.16
58940,Watchman,5,2,1,54.4
58990,Other Protective Service Workers,5,2,1,65
59000,Service Workers Not Elsewhere Classified,,,,
59100,Guides,5,2,42,62.33
59120,Travel Guide,5,2,2,62.33
59130,Sightseeing Guide,,,,
59200,Undertakers and Embalmers,,,,
59220,Undertaker,4,2,42,59.91
59230,Embalmer,,,,
59290,Other Undertakers and Embalmers,9,3,1,63.88
59900,Other Service Workers,,,,
59920,Bookmaker (Sport),,,,
59930,Croupier,,,,
59940,Nursing Aid,9,3,2,54.99
59950,Practical Aid (Pharmacy),9,3,2,62.68
59960,Practical Aid (Veterinary),,,,
59970,Aircraft Cabin Attendant,,,,
59980,Prostitute,11,5,1,37.18
59990,Other Service Workers Not Elsewhere Classified,9,3,2,63.88
61000,Farmers,,,,
61100,General Farmers,,,,
61110,General Farmer,8,4,41,49.91
61115,Small Subsistence Farmer (Husbandman),10,5,2,48.63
61220,Field Crop Farmer,8,4,41,50.88
61230,Orchard and Related Tree and Shrub Crop Farmer,8,4,41,50.88
61235,Vine Grower,8,4,41,53.75
61240,Livestock Farmer,8,4,41,49.63
61250,Dairy Farmer,8,4,41,50.88
61260,Poultry Farmer,8,4,41,56.79
61270,Horticultural Farmer,8,4,2,62.83
61290,Other Specialised Farmers,8,4,2,53.15
62000,Agricultural and Animal Husbandry Workers,,,,
62100,General Farm Workers,,,,
62105,"FarmWorker, General",12,5,1,46
62110,"FarmHelper, General",12,5,1,45.72
62120,Farm Servant,10,5,1,44.22
62200,Field Crop and Vegetable Farm Workers,,,,
62210,Field Crop Farm Worker,12,5,1,45.66
62220,Vegetable Farm Worker,12,5,2,45.66
62230,Wheat Farm Worker,12,5,1,45.66
62240,Cotton Farm Worker,,,,
62250,Rice Farm Worker,,,,
62260,SugarCane Farm Worker,,,,
62290,Other Field Crop and Vegetable Farm Workers,12,5,1,45.66
62300,"Orchard, Vineyard and Related Tree and Shrub Crop Workers",,,,
62320,Orchard Worker,10,5,1,46.59
62330,Vineyard Worker,,,,
62340,Tea Plantation Worker,,,,
62350,Rubber Plantation Worker,,,,
62390,"Other Orchard, Vineyard and Related Tree and Shrub Crop Workers",12,5,2,46.59
62400,Livestock Workers,12,5,1,52.4
62410,"Livestock Worker, General",12,5,1,49.18
62420,Beef Cattle Farm Worker,12,5,1,49.18
62430,Sheep Farm Worker,12,5,1,45.99
62440,Pig Farm Worker,12,5,1,49.18
62450,FurBearing Animal Farm Worker,,,,
62460,Horse Worker,12,5,1,52.49
62490,Other Livestock Workers,12,5,2,53.99
62500,Dairy Farm Workers,,,,
62510,"Dairy Farm Worker, General",10,5,1,48.34
62520,Milker (Machine),10,5,2,48.34
62590,Other Dairy Farm Workers,,,,
62600,Poultry Farm Workers,,,,
62610,"Poultry Farm Worker, General",,,,
62620,Poultry Hatchery Worker,12,5,1,46.59
62690,Other Poultry Farm Workers,12,5,2,46.59
62700,Nursery Workers and Gardeners,12,5,2,55.13
62720,Market Garden Worker,12,5,2,53.84
62730,Nursery Worker,12,5,2,52.5
62740,Gardener,12,5,2,53.25
62790,Other Nursery Workers and Gardeners,12,5,2,53.84
62800,Farm Machinery Operators,,,,
62820,Motorised Farm Equipment Operator,10,5,2,46.59
62890,Other Farm Machinery Operators,,,,
62900,Agricultural and Animal Husbandry Workers Not Elsewhere Classified,,,,
62920,Apiary Worker,10,5,3,49.47
62930,Sericulture Worker,,,,
62940,Tree Tapper (except Rubber),,,,
62950,Irrigator,,,,
62960,Groundsman,11,5,2,49.47
62970,Peat Worker,11,5,2,49.47
62990,Other Agricultural and Animal Husbandry Workers,12,5,2,49.47
63000,Forestry Workers,,,,
63100,Loggers,,,,
63110,Logger (General),10,5,2,51.9
63120,Tree Feller and Bucker,10,5,2,52.93
63130,HighClimber (Logging),,,,
63140,River Driver,10,5,2,54.65
63190,Other Loggers,10,5,1,54.52
63200,Forestry Workers (except Logging),,,,
63220,Forest Supervisor,3,2,2,55.15
63230,Forestry Worker,12,5,2,51.24
63240,Timber Cruiser,,,,
63250,Forest FireFighter,,,,
63290,Other Forestry Workers,12,5,2,53.02
64000,"Fishermen, Hunters and Related Workers",,,,
64100,"Fisherman, DeepSea or Inland and Coastal Water",10,5,2,50.61
64120,DeepSea Fisherman,10,5,2,46.18
64130,Inland and Coastal Water Fisherman,10,5,2,51.5
64900,"Fishermen, Hunters and Related Workers Not Elsewhere Classified",,,,
64920,Fish Farm Worker,12,5,2,52.18
64930,Oyster Farm Worker,12,5,1,51.77
64940,Whale Hunter,,,,
64945,Whale or Seal Hunter,,,,
64950,Seal Hunter,,,,
64960,Trapper and Hunter,10,5,2,51.41
64990,"Other Fishermen, Hunters and Related Workers",8,4,2,52.52
71000,"Miners, Quarrymen, WellDrillers and Related Workers",,,,
71100,Miners and Quarrymen,,,,
71105,"Miner, General",9,3,2,50.56
71110,"Quarryman, General",9,3,2,58.34
71120,CuttingMachine Operator (Mine),,,,
71125,"MiningMachine Operator, Specialisation Unknown",9,3,2,50.56
71130,DrillingMachine Operator (Mine and Quarry),9,3,1,50.56
71140,Continuous MiningMachine Operator,,,,
71150,ShotFirer (Mine and Quarry),,,,
71160,Underground Timberman,9,3,3,50.56
71170,Sampler (Mine),,,,
71190,Other Miners and Quarrymen,11,5,2,60.22
71200,Mineral and Stone Treaters,9,3,2,57.09
71220,Stone Splitter,9,3,2,57.09
71230,MineralCrushingMachine Operator,9,3,2,50.56
71240,MineralMillingMachine Operator,,,,
71250,Jig Tender,,,,
71260,Floatation Man,,,,
71270,Precipitator,,,,
71280,Cone Operator (Mine),,,,
71290,Other Mineral and Stone Treaters,11,5,2,52.04
71300,"WellDrillers, Borers and Related Workers",9,3,2,50.56
71320,Derrickman (Oil and Gas Wells),,,,
71330,Rotary Driller (Oil and Gas Wells),,,,
71340,Cable Driller (Oil and Gas Wells),,,,
71350,Cementer (Oil and Gas Wells),,,,
71360,WellPuller (Oil and Gas Wells),,,,
71370,Acidiser (Oil and Gas Wells),,,,
71380,WellDriller and Borer (except Oil and Gas Wells),9,3,1,50.56
71390,"Other WellDrillers, Borers and Related Workers",,,,
72000,"Metal Processor, Specialisation Unknown",9,3,3,60.18
72100,"Metal Smelting, Converting or Refining Furnacemen, Specialisation Unknown",9,3,3,56.33
72120,Blast Furnaceman (Ore Smelting),,,,
72130,OpenHearth Furnaceman (Steel),,,,
72140,Oxygen Furnaceman (Steel Converting),9,3,2,56.33
72150,Bessemer Furnaceman (Steel Converting),,,,
72160,Electric Arc Furnaceman (Steel Refining),,,,
72170,"Furnaceman, NonFerrous Metal Converting and Refining",,,,
72190,"Other Metal Smelting, Converting and Refining Furnaceman",9,3,3,59.93
72200,"Metal RollingMill Worker, Specialisation Unknown",9,3,2,64.26
72220,HotRoller (Steel),,,,
72230,ContinuousMill Roller (Steel),9,3,2,58.86
72240,ColdRoller (Steel),,,,
72250,"Roller, NonFerrous Metals",9,3,2,56.33
72260,Seamless Pipe and Tube Roller,,,,
72270,Manipulator (Rolling Mill),,,,
72290,Other Metal RollingMill Workers,,,,
72300,Metal Melters and Reheaters,,,,
72320,"Furnaceman, MetalMelting, except Cupola",,,,
72330,Cupola Furnaceman,,,,
72340,"Furnaceman, Metal Reheating",,,,
72390,Other Metal Melters and Reheaters,9,3,2,58.25
72400,Metal Casters,,,,
72420,Metal Pourer,9,3,3,58.2
72430,Centrifugal CastingMachine Operator,,,,
72440,DieCastingMachine Operator,,,,
72450,Continuous RodCastingMachineOperator (NonFerrous Metal),,,,
72490,Other Metal Caster,9,3,3,65.34
72500,"Metal Moulder or Coremaker, Specialisation Unknown",7,3,3,60.18
72520,Bench Moulder (Metal),,,,
72530,Floor and Pit Moulder,,,,
72540,Moulder (Machine),9,3,3,56.33
72550,Coremaker (Hand),,,,
72555,Coremaker (Hand or Machine),7,3,3,58.86
72560,Coremaker (Machine),,,,
72590,Other Metal Moulders and Core Makers,9,3,3,58.86
72600,"Metal Annealers, Temperers and CaseHardeners",,,,
72620,Annealer,,,,
72630,Hardener,,,,
72640,CaseHardener,,,,
72650,Temperer,,,,
72690,"Other Metal Annealers, Temperers and CaseHardeners",,,,
72700,Metal Drawers and Extruders,,,,
72720,Wire Drawer (Hand),,,,
72725,Wire Drawer (Hand or Machine),9,3,3,58.45
72730,Wire Drawer (Machine),,,,
72740,Seamless Pipe and Tube Drawer,,,,
72750,Extruder Operator (Metal),,,,
72790,Other Metal Drawers and Extruders,,,,
72800,Metal Platers and Coaters,,,,
72820,Electroplater,9,3,2,56.33
72830,HotDip Plater,9,3,2,58.86
72840,WireCoatingMachine Operator,9,3,2,58.45
72850,Metal Sprayer,9,3,2,56.63
72890,Other Metal Platers and Coaters,9,3,2,56.63
72900,Metal Processors Not Elsewhere Classified,,,,
72920,Metal Bluer,,,,
72930,Casting Finisher,11,5,2,58.86
72940,Metal Cleaner,9,3,2,58.86
72990,Other Metal Processors,9,3,2,65.12
73000,Wood Preparation Workers and Paper Makers,,,,
73100,"Wood Treater, Specialisation Unknown",9,3,1,56.88
73120,WoodSeasoning Worker,,,,
73130,WoodTreating Worker,9,3,2,56.88
73190,Other Wood Treaters,11,5,2,56.88
73200,"Sawyer, Plywood Maker or Related WoodProcessing Worker, Specialisation Unknown",9,3,1,57.06
73210,"Sawyer, General",9,3,2,57.06
73220,Edge Sawyer,,,,
73230,BandSaw Operator,,,,
73240,Veneer Cutter,9,3,2,57.06
73250,Plywood CoreLayingMachine Operator,,,,
73260,Plywood PressOperator,,,,
73270,Wood Grader,9,3,2,57.06
73290,"Other Sawyer, Plywood Makers and Related WoodProcessing Workers",9,3,2,57.06
73300,Paper Pulp Preparers,,,,
73320,Wood Grinder,9,3,2,56.7
73330,Chipperman,9,3,2,56.7
73340,Digester Operator,9,3,2,56.7
73350,Bleacher Operator,,,,
73360,Beater Operator,,,,
73390,Other Paper Pulp Preparers,11,5,2,56.88
73400,"Paper Maker, Specialisation Unknown",9,3,1,56.7
73420,PaperMakingMachine Operator (Wet End),9,3,2,56.7
73430,PaperMakingMachine Operator (Back End),,,,
73440,Supercalender Operator,9,3,2,56.7
73450,CoatingMachine Operator,,,,
73460,Paper Maker (Hand),,,,
73490,Other Paper Makers,9,3,1,56.7
74000,Chemical Processors and Related Workers,,,,
74100,"Crusher, Grinder or Mixer, Specialisation Unknown",9,3,3,57.06
74120,Crusher Operator (Chemical and Related Processes),,,,
74130,MillerGrinder (Chemical and Related Processes),9,3,2,57.06
74140,Mixingand BlendingMachine Operator (Chemical and Related Processes),9,3,2,54.22
74190,"Other Crushers, Grinders and Mixers",,,,
74200,"Cookers, Roasters and Related Heat Treaters",,,,
74220,Cooker (Chemical and Related Processes),9,3,2,48.2
74230,Roaster (Chemical and Related Processes),,,,
74240,Drier Operator (Chemical and Related Processes),9,3,1,48.2
74290,"Other Cookers, Roasters and Related HeatTreaters",9,3,2,48.2
74300,Filter and Separator Operators,,,,
74320,FilterPress Operator,9,3,2,64.34
74330,RotaryDrum Filterer,,,,
74340,Centrifugal Separator Operator,,,,
74350,Crude Oil Treater (Oilfield),,,,
74390,Other Filter and Separator Operators,,,,
74400,"Still or Reactor Operator, Specialisation Unknown",9,3,2,64.34
74420,"BatchStill Operator (Chemical Processes, except Petroleum)",,,,
74430,"ContinuousStill Operator (Chemical Processes, except Petroleum)",,,,
74440,"ReactorConverter Operator (Chemical Processes, except Petroleum)",,,,
74450,Evaporator Operator,,,,
74460,Extractor Operator (Wood Distillation),,,,
74470,Saltmaker,9,3,2,58.11
74490,Other Still and Reactor Operators,9,3,2,56.2
74500,"PetroleumRefining Worker, Specialisation Unknown",11,5,2,60.25
74520,Desulphurisation Treater (Petroleum Refining),,,,
74530,Pumpman (Petroleum Refining),,,,
74550,Controlman (Petroleum Refining),,,,
74560,Blender (Petroleum Refining),,,,
74570,Paraffin Plant Operator,,,,
74590,Other PetroleumRefining Workers,,,,
74900,Chemical Processors and Related Workers Not Elsewhere Classified,,,,
74915,Chemical Bleacher Operator,,,,
74920,Coke Burner,9,3,2,60.25
74925,CoalGas Maker,9,3,1,60.25
74930,Charcoal Burner,9,3,2,60.25
74935,Synthetic Fibre Maker,,,,
74940,Chemical Processor (Radioactive Materials),,,,
74990,Other Chemical Processors and Related Workers,9,3,2,60.25
75000,"Spinners, Weavers, Knitters, Dyers and Related Workers, Specialisation Unknown",9,3,2,55.2
75100,"Fibre Preparer, Specialisation Unknown",9,3,2,58.29
75115,Fibre Grader and Classer,9,3,2,58.29
75120,Wool Scourer,9,3,1,58.29
75125,Fibre Mixer and Blender,9,3,2,58.29
75130,Fibre Picker,9,3,2,58.29
75135,Fibre Carder,9,3,2,58.29
75140,Fibre Lapper,9,3,2,58.29
75145,Fibre Comber,9,3,1,58.29
75150,Fibre Drawer,9,3,1,58.29
75155,Fibre Rover,,,,
75190,Other Fibre Preparers,11,5,1,58.29
75200,Spinners and Winders,,,,
75220,"Spinner, Thread and Yarn",9,3,2,48.38
75230,Doubler,,,,
75240,Twister,9,3,2,48.38
75250,Winder,9,3,2,48.38
75290,Other Spinners and Winders,11,5,2,48.38
75300,Weavingand KnittingMachine Setters and PatternCard Preparers,,,,
75320,Loom Fixer,,,,
75330,KnittingMachine Setter,,,,
75340,Jacquard Design Copyist,,,,
75350,Jacquard Card Cutter,9,3,2,50.74
75390,Other Weaving and KnittingMachine Setters and PatternCard Preparers,9,3,2,50.74
75400,"Weaver, Specialisation Unknown",9,3,2,49.36
75415,Beam Warper,,,,
75420,Loom Threader (Hand),,,,
75422,Loom Threader (Hand or Machine),11,5,2,50.74
75425,Loom Threader (Machine),,,,
75430,Cloth Weaver (Hand),9,3,2,50.74
75432,Cotton Weaver (Hand or Machine),9,3,2,52.84
75435,Tapestry Maker (Hand),,,,
75440,"Cloth Weaver (Machine, except Jacquard Loom)",9,3,2,50.74
75445,Jacquard Weaver,,,,
75450,Lace Weaver (Machine),,,,
75452,,9,3,2,50.74
75455,Carpet Weaver (Hand),9,3,3,50.74
75457,Carpet Weaver (Hand or Machine),9,3,1,50.74
75460,Carpet Weaver (Machine),9,3,2,56.52
75465,Net Maker (Machine),9,3,2,49.47
75470,Fabrics Examiner,9,3,2,49.36
75475,Fabrics Repairer,7,3,2,50.74
75490,Other Weavers and Related Workers,9,3,2,56.52
75500,"Knitter, Specialisation Unknown",9,3,2,51.54
75520,Knitting MachineOperator (Garment),,,,
75530,Knitting Machine Operator (Hosiery),9,3,2,56.18
75535,Hosiery Knitter (Hand),9,3,1,50.74
75540,Knitter (HandOperated Machine),9,3,2,49.36
75550,Hand Knitter,,,,
75590,Other Knitters,9,3,1,50.74
75600,"Bleachers, Dyers and Textile Product Finishers",9,3,2,58.68
75615,Textile Bleacher,9,3,2,58.68
75620,Yarn Dyer,9,3,2,58.68
75622,"Yarn, Fabric or Garment Dyer",9,3,1,58.68
75625,Fabric Dyer,9,3,2,58.68
75630,Garment Dyer,9,3,2,58.68
75635,Textile Washer,9,3,2,58.68
75640,Silk Degummer,,,,
75645,WoolCarboniser,,,,
75650,Textile Shrinker,,,,
75655,Textile Fuller,9,3,2,58.68
75660,Textile Waterproofer,,,,
75665,Silk Weighter,,,,
75670,Textile Calender Operator,9,3,2,58.68
75690,"Other Bleachers, Dyers and Textile Product Finishers",9,3,2,58.68
75700,Rope Makers,,,,
75710,"Rope Maker, General",9,3,2,54.27
75720,"Wheel Turner, Rope Making",9,3,2,50.74
75900,"Spinners, Weavers, Knitters, Dyers and Related Workers Not Elsewhere Classified",,,,
75920,Braid Maker (Hand),,,,
75922,Braid Maker (Hand or Machine),11,5,2,49.36
75925,Braid Maker (Machine),7,3,3,49.36
75930,Crocheter (Hand),9,3,2,67.23
75935,Crocheter (Machine),,,,
75940,Net Maker (Hand),9,3,2,67.23
75945,Fur Fibre Mixer (Machine),,,,
75950,Felt Hood Former,,,,
75990,"Other Spinners, Weavers, Knitters, Dyers and Related Workers",9,3,2,67.23
76000,"Tanners, Fellmongers and Pelt Dressers",,,,
76100,"Tanners or Fellmonger, Specialisation Unknown",9,3,3,60.33
76120,Hide and Skin Grader,,,,
76125,Fellmonger,9,3,3,60.33
76130,Hide Flesher and Dehairer (Hand),9,3,2,60.33
76135,Hide Flesher and Dehairer (Machine),9,3,2,60.33
76140,Hide Splitter,,,,
76145,Tanner,9,3,3,60.33
76150,Leather Currier,11,5,3,60.33
76155,Leather Dyer and Stainer,,,,
76190,Other Tanners and Fellmongers,9,3,3,60.33
76200,"Pelt Dresser, Specialisation Unknown",9,3,1,50.74
76220,Pelt Grader,,,,
76230,Pelt Flesher,,,,
76240,Pelt Plucker and Trimmer,,,,
76250,Pelt Dyer (Hand),,,,
76260,Pelt Stretcher,,,,
76290,Other Pelt Dressers,9,3,2,50.74
77000,Food and Beverage Processors,,,,
77100,Grain Millers and Related Workers,,,,
77120,Grain Miller,7,3,2,56.18
77130,Rice Miller,7,3,2,62.7
77140,Spice Miller,9,3,2,59.63
77190,Other Grain Millers and Related Workers,9,3,1,62.7
77200,"Sugar Processor or Refiner, Specialisation Unknown",9,3,2,59.63
77220,SugarCane Grinder,,,,
77230,Diffuser Operator (Beet Sugar),11,5,2,59.63
77240,Carbonation Man (Sugar Refining),9,3,2,59.63
77250,Crystalliser Operator (Sugar Refining),9,3,2,58.74
77260,Continuous SugarRefining Machine Operator,,,,
77290,Other Sugar Processors and Refiners,9,3,2,60.99
77300,Butchers and Meat Preparers,,,,
77310,"Butcher, General",7,3,3,62.29
77320,Slaughterer,9,3,2,49.93
77330,Meat Cutter,9,3,3,58.74
77340,Sausage Maker,9,3,2,58.74
77390,Other Butchers and Meat Preparers,9,3,3,62.9
77400,Food Preservers,,,,
77410,"Preserving Cook, General",9,3,2,59.63
77415,FishPreserving Cook,9,3,2,58.74
77420,Sterilising Cook,,,,
77430,Foodstuffs Freezer,11,5,2,58.74
77440,Foodstuffs Dehydrator,9,3,2,59.63
77450,"Pickler, Food",9,3,2,58.74
77460,Meat and Fish Smoker,9,3,2,59.63
77490,Other Food Preservers,11,5,2,58.74
77500,Dairy Product Processors,,,,
77510,"Dairy Product Processor, General",9,3,2,58.49
77520,Dairy Product Pasteuriser,9,3,2,58.49
77530,Butter Maker,9,3,2,58.49
77540,Cheese Maker,7,3,2,58.49
77550,IceCream Maker,,,,
77590,Other Dairy Product Processors,11,5,2,58.49
77600,"Bakers, Pastry Cooks and Confectionery Makers",,,,
77610,"Baker, General",7,3,3,59.63
77620,Bread Baker,7,3,3,60.2
77630,Pastry Maker,7,3,3,70.12
77640,Macaroni Maker,9,3,2,57.5
77650,Chocolate Maker,9,3,3,62.43
77660,Confectionery Maker,9,3,3,65.16
77690,"Other Bakers, Pastry Cooks and Confectionery Makers",9,3,3,71.01
77700,"Tea, Coffee and Cocoa Preparers",,,,
77720,Coffee and Tea Taster,,,,
77730,Coffee Blender,,,,
77740,Tea Blender,,,,
77750,Coffee Roaster,9,3,2,58.74
77760,CocoaBean Roaster,9,3,3,71.01
77790,"Other Tea, Coffee and Cocoa Preparers",9,3,2,58.74
77800,"Brewers, Wine and Beverage Makers",,,,
77810,"Brewer, General",7,3,2,62.65
77820,Germination Worker (Malting),9,3,2,62.65
77825,Kilnman (Malting),9,3,2,62.65
77830,Malt Cooker,9,3,2,62.65
77835,FermentingRoom Man,,,,
77840,Yeast Maker,9,3,2,62.65
77850,Wine Worker,9,3,2,62.65
77860,Wine and Liquor Taster,,,,
77870,Vinegar Maker,9,3,3,62.65
77880,Fruit PressOperator,,,,
77890,"Other Brewers, Wine and Beverage Makers",9,3,3,62.65
77900,Food and Beverage Processors Not Elsewhere Classified,,,,
77920,Oil Presser (Edible Oils),9,3,2,53.45
77925,Refining MachineOperator (Oils and Fats),9,3,1,53.45
77930,Hydrogenation Operator (Oils and Fats),,,,
77940,Fish Butcher,9,3,2,58.74
77990,Other Food and Beverage Processors,11,5,2,58.74
78000,Tobacco Preparers and Tobacco Product Makers,,,,
78100,"Tobacco Preparer, Specialisation Unknown",9,3,2,58.77
78120,Tobacco Grader,9,3,1,59.63
78130,Tobacco Blender,7,3,2,59.63
78140,Tobacco Conditioner Operator,,,,
78150,Tobacco Stripper (Hand),,,,
78155,Tobacco Stripper (Hand or Machine),11,5,2,54.5
78160,Tobacco Stripper (Machine),,,,
78170,Tobacco Cutting MachineOperator,9,3,2,59.63
78190,Other Tobacco Preparers,9,3,2,58.74
78200,"Cigar Maker, Specialisation Unknown",9,3,1,52.49
78220,Cigar Maker (Hand),,,,
78230,Cigar Maker (Machine),9,3,2,52.49
78290,Other Cigar Makers,9,3,2,54.79
78300,Cigarette Makers,,,,
78320,Cigarette Maker (Machine),9,3,2,60.83
78390,Other Cigarette Makers,,,,
78900,Tobacco Preparers and Tobacco Product Makers Not Elsewhere Classified,,,,
78920,Snuff Maker,9,3,2,58.74
78990,Other Tobacco Preparers and Tobacco Products Makers,9,3,2,58.74
79000,"Tailors, Dressmakers, Sewers, Upholsterers and Related Workers",,,,
79100,"Tailor, Specialisation Unknown",7,3,3,53.02
79120,"Tailor, MadetoMeasure Garments",,,,
79130,"Tailor, ReadytoWear Garments",7,3,3,54.04
79140,Dressmaker,7,3,3,59.72
79190,Other Tailors and Dressmakers,7,3,3,65.98
79200,Fur Tailors and Related Workers,9,3,3,54.04
79220,Fur Tailor,,,,
