concept_or_term,kind,freq,n_actors,top_example,hisco,en_hisco,hisclass,hisclass_5,hiscam,match,needs_review
cutter,term,1,1,cutter in a stay factory (1853-7),77330,Meat Cutter,9,3,58.74,keyword,yes
ropewalk,term,1,1,Started work in a ropewalk (1870-86),,,,,,none,yes
bound apprentice,term,1,1,bound apprentice to father,,,,,,none,yes
tramping,term,1,1,‘tramping’,,,,,,none,yes
flour mill,term,1,1,employed in flour mill at Watford,77130,Rice Miller,7,3,62.7,keyword,yes
business,term,1,1,in business for a short time selling grocerie,,,,,,none,yes
one,term,1,1,worked for one year for the London and North ,,,,,,none,yes
shaping iron,term,1,1,"employed shaping iron at the Canada Works, ne",81250,Wood ShapingMachine SetterOperator,9,3,54.38,keyword,yes
rented shop,term,1,1,rented a shop and started in business as a bo,45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,73.19,keyword,yes
obtained income publishing,term,1,1,"obtained small income by publishing books, se",,,,,,none,yes
crewe railway works,term,1,1,employed at Crewe Railway Works and then at B,39960,Railway Clerk,5,2,61.4,keyword,yes
opened shop,term,1,1,opened a small shop for the sale of periodica,45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,73.19,keyword,yes
uncle hosier,term,1,1,apprenticed to uncle as a hosier (1822- 29?),75535,Hosiery Knitter (Hand),9,3,50.74,keyword,yes
newspaper director,term,1,1,newspaper director,15920,"Editor, Newspapers and Periodicals",2,1,82.12,keyword,yes
skilled rickmaker,term,1,1,skilled rickmaker and thatcher,,,,,,none,yes
gamekeeper,term,1,1,gamekeeper (c.1797),,,,,,none,yes
land-surveyor,term,1,1,land-surveyor,,,,,,none,yes
patent medecine vender,term,1,1,‘Patent Medecine Vender’,,,,,,none,yes
licentiate,term,1,1,became a licentiate of the Church of Scotland,,,,,,none,yes
confined,term,1,1,"confined to Crichton Royal Institution, Dumfr",,,,,,none,yes
discharge he led,term,1,1,on his discharge he led the life of a recluse,,,,,,none,yes
ordained deacon,term,1,1,ordained deacon (1859),,,,,,none,yes
compelled,term,1,1,compelled to give up curacy in 1861,,,,,,none,yes
sandwich-boy,term,1,1,sandwich-boy,,,,,,none,yes
indoor,term,1,1,indoor work at firm of stationers (from 1860),,,,,,none,yes
vellum-binder,term,1,1,vellum-binder (to 1884),,,,,,none,yes
workshop,term,1,1,returned to the workshop in 1887 as foreman o,87430,Structural Steel Worker (Workshop),7,3,61.08,keyword,yes
editorial proof-reader,term,1,1,editorial proof-reader,,,,,,none,yes
money-lender,term,1,1,for a money-lender,,,,,,none,yes
street-seller,term,1,1,street-seller,,,,,,none,yes
general,term,1,1,general and day nurse,,,,,,none,yes
motor-van boy,term,1,1,motor-van boy,,,,,,none,yes
laboured,term,1,1,laboured at a chemical factory (for 3 years),,,,,,none,yes
mould runner,term,1,1,Started work as a ‘mould runner’ for a ‘muffi,72540,Moulder (Machine),9,3,56.33,keyword,yes
handle-maker,term,1,1,handle-maker in pot works,,,,,,none,yes
toy-maker,term,1,1,toy-maker at manufactory in Burslem (1842-?),,,,,,none,yes
domestic poverty caused,term,1,1,Domestic poverty caused author to work at ear,54010,"Domestic Servant, General",9,3,41.43,keyword,yes
sentence,term,1,1,served out his sentence on a farm in Wales (1,,,,,,none,yes
living,term,1,1,made a living from writing and propaganda wor,,,,,,none,yes
soap-box orator,term,1,1,soap-box orator (1937-),,,,,,none,yes
managed,term,1,1,"Managed, with her brother, a grocery and prov",,,,,,none,yes
lime-kiln worker,term,1,1,lime-kiln worker,62970,Peat Worker,11,5,49.47,keyword,yes
wood sawyer,term,1,1,wood sawyer (1827),73270,Wood Grader,9,3,57.06,keyword,yes
drain-digger,term,1,1,drain-digger,,,,,,none,yes
stone quarry worker,term,1,1,stone quarry worker,82030,Stone Grader,9,3,61.65,keyword,yes
learner,term,1,1,‘Learner’ at sawmills (1856-61),,,,,,none,yes
saw-operator,term,1,1,saw-operator and general superintendent at sa,,,,,,none,yes
sidney,term,1,1,"worked with Sidney and Beatrice Webb, researc",,,,,,none,yes
hm inspector,term,1,1,HM Inspector of Schools (1912-22),13950,School Inspector,2,1,81.63,keyword,yes
inspector under london,term,1,1,Chief Inspector under the London Education Co,13950,School Inspector,2,1,81.63,keyword,yes
beaverbrook press,term,1,1,employed by the Beaverbrook Press (1931-),56070,Presser (Hand),9,3,55.97,keyword,yes
newspaper office,term,1,1,Left school at age 13 to work in a newspaper ,15920,"Editor, Newspapers and Periodicals",2,1,82.12,keyword,yes
moved,term,1,1,moved from there to a glass works,,,,,,none,yes
moulder,term,1,1,served his time as a moulder,72540,Moulder (Machine),9,3,56.33,keyword,yes
magazine,term,1,1,then employed by a magazine and newspaper com,,,,,,none,yes
assisted aunt kept,term,1,1,assisted aunt who kept a farm and an inn,,,,,,none,yes
fought,term,1,1,fought in the American Civil War (1861-5),,,,,,none,yes
established world-wide reputation,term,1,1,established world-wide reputation as an explo,,,,,,none,yes
half-time shifter,term,1,1,"Half-time ‘shifter’ in a jute mill, combined ",,,,,,none,yes
full-time activist,term,1,1,full-time activist for the Prohibition and Re,,,,,,none,yes
apprentice bookbinder,term,1,1,Apprentice bookbinder (1827-34),92620,Bookbinder (Hand),7,3,62.36,keyword,yes
earn living,term,1,1,Started to earn own living at age 8 by sellin,,,,,,none,yes
postman,term,1,1,postman (c.1910),37030,Postman,9,3,58.52,exact,
policeman,concept,1,1,joined the British South Africa Police in 191,58225,Military Policeman,4,2,58.36,rescue,yes
occupations,term,1,1,employed in various occupations in South Afri,,,,,,none,yes
public orator living,term,1,1,"public orator, making a living from collectio",15960,Publicity Writer,2,1,80.5,keyword,yes
fortune-teller,term,1,1,fortune-teller,,,,,,none,yes
quack doctor,term,1,1,‘quack’ doctor and birth-control advocate (19,39430,Doctor's or Dentist's Receptionist,5,2,71.8,keyword,yes
platform advocate,term,1,1,returned to platform as advocate of revolutio,,,,,,none,yes
abandoned open socialist,term,1,1,abandoned the open socialist platform to spea,97355,OpeningBridge Operator,9,3,56.2,keyword,yes
broadcaster,term,1,1,broadcaster,,,,,,none,yes
yorkshire factory times,term,1,1,from 1889 was employed on the Yorkshire Facto,99930,Factory Worker,11,5,55.31,keyword,yes
shoe shop,term,1,1,in a shoe shop,80130,Shoe Repairer,7,3,62.54,keyword,yes
mackintosh cloth factory,term,1,1,in a mackintosh cloth factory,75430,Cloth Weaver (Hand),9,3,50.74,keyword,yes
grimsby trawler,term,1,1,on a Grimsby trawler,,,,,,none,yes
milk roundsman,term,1,1,as a milk roundsman,62520,Milker (Machine),10,5,48.34,keyword,yes
road-maker,term,1,1,road-maker,,,,,,none,yes
full-timer,term,1,1,full-timer (1878-80),,,,,,none,yes
part-time errand-boy,term,1,1,Part-time errand-boy,,,,,,none,yes
garden-boy,term,1,1,garden-boy (1880),,,,,,none,yes
apprentice builder remaining,term,1,1,"apprentice builder (1882), remaining in the s",94160,Organ Builder,7,3,55.61,keyword,yes
tea broker s,term,1,1,Employed in a tea broker’s establishment (189,44140,Stock Broker,4,2,84.08,keyword,yes
leather-bag maker,term,1,1,leather-bag maker (1895-1904),77840,Yeast Maker,9,3,62.65,keyword,yes
chapel,term,1,1,"Principal of the Chapel of the Opened Book, F",,,,,,none,yes
position,term,1,1,rose to position of undermanager in the mill,,,,,,none,yes
mill part-time leaving,term,1,1,returned to work in the mill part-time after ,77130,Rice Miller,7,3,62.7,keyword,yes
joint managing director,term,1,1,"joint managing director of Peace News, to whi",85700,Electric Linemen and Cable Jointers,7,3,58.86,keyword,yes
post office employee,term,1,1,post office employee (c.1873-1887),37030,Postman,9,3,58.52,keyword,yes
pit door-boy,term,1,1,Started work in the pit as a door-boy before ,,,,,,none,yes
pony-driver,term,1,1,"a pony-driver by the age of 12, and a ‘full-b",,,,,,none,yes
button-cobber,term,1,1,"Employed as a button-cobber at age 7, followe",,,,,,none,yes
rule-maker,term,1,1,apprenticed to a rule-maker for 8 1/2 years (,,,,,,none,yes
rule-maker entering partnership,term,1,1,worked for a time as a rule-maker before ente,,,,,,none,yes
undertook business ventures,term,1,1,undertook various business ventures,,,,,,none,yes
direotor,term,1,1,was also a direotor of two public companies,,,,,,none,yes
silk hatter,term,1,1,silk hatter (from age 14),,,,,,none,yes
began very young,term,1,1,Began work ‘when very young milking cows’‚ th,,,,,,none,yes
comber,term,1,1,comber,75145,Fibre Comber,9,3,58.29,keyword,yes
finally expert horticulturalist,term,1,1,"and, finally, as an expert horticulturalist",,,,,,none,yes
boy steward cook,term,1,1,"worked for 11 years as a boy steward, cook an",54060,Ship's Steward,5,2,41.45,keyword,yes
royal naval reserve,term,1,1,served for 5 years in the Royal Naval Reserve,,,,,,none,yes
opened cook shop,term,1,1,opened a small ‘cook shop’ in Monkwearmouth (,53120,Head Cook,6,2,57.66,keyword,yes
opened wilson s,term,1,1,opened ‘Wilson’s Temperance Hotel and Dining ,,,,,,none,yes
player,term,1,1,player with a travelling theatre company,,,,,,none,yes
itinerant showman,term,1,1,itinerant showman,,,,,,none,yes
volunteer,term,1,1,Volunteer,,,,,,none,yes
pattern-dresser,term,1,1,pattern-dresser (1 year),,,,,,none,yes
warp-sizing inspector,term,1,1,warp-sizing inspector,13950,School Inspector,2,1,81.63,keyword,yes
bum bailiff,term,1,1,‘bum’ bailiff to an auctioneer,,,,,,none,yes
inventor,term,1,1,inventor,,,,,,none,yes
